"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","Mom_and_Child","Strangers","Friends","character_emotion","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","condition","answer"
"144","B","S030","M",7,1,26,"Megan",3,6,5,"Orin",0,1,1,2,2,1,"Cameron",0,1,1,2,1,2,"Circles_fact_h",3
"145","C","S031","M",7,6,29,"Megan",4,6,3,"Orin",1,0,1,1,2,1,"Cameron",1,0,1,1,1,1,"Circles_fact_h",5
"146","E","S032","M",8,11,11,"Megan",6,6,1,"Avery",1,1,0,1,1,1,"Riley",1,1,1,1,2,1,"Circles_fact_h",3
"147","G","S034","M",7,1,21,"Megan",1,6,3,"Avery",1,1,1,2,2,2,"Riley",1,1,1,1,2,2,"Circles_fact_h",4
"148","H","S035","M",9,1,20,"Megan",4,6,5,"Avery",1,0,0,1,2,1,"Riley",1,0,0,1,2,2,"Circles_fact_h",4
"149","E","S036","M",6,6,24,"Megan",4,6,1,"Avery",0,0,1,1,1,2,"Riley",1,0,1,2,2,1,"Circles_fact_h",1
"150","F","S037","M",8,4,2,"Megan",2,6,4,"Avery",1,0,1,1,1,1,"Riley",1,0,1,2,1,1,"Circles_fact_h",5
"151","G","S038","M",8,11,9,"Megan",1,6,3,"Avery",1,1,1,2,2,2,"Riley",0,0,0,2,2,2,"Circles_fact_h",4
"152","H","S039","M",7,4,24,"Megan",4,6,3,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,1,1,"Circles_fact_h",6
"153","E","S040","M",6,7,28,"Megan",1,6,3,"Avery",1,1,1,1,2,2,"Riley",0,0,1,1,2,2,"Circles_fact_h",4
"154","F","S041","F",8,3,30,"Megan",2,6,3,"Avery",1,0,1,1,2,1,"Riley",0,0,1,2,2,1,"Circles_fact_h",2
"155","G","S042","F",9,6,22,"Megan",2,6,4,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,2,1,"Circles_fact_h",5
"156","E","S044","F",9,9,18,"Megan",3,6,4,"Avery",1,1,1,2,2,2,"Riley",1,1,1,2,2,2,"Circles_fact_h",4
"157","F","S045","F",7,7,27,"Megan",2,6,3,"Avery",0,0,0,1,2,1,"Riley",0,0,1,1,2,2,"Circles_fact_h",3
"158","G","S046","F",8,2,8,"Megan",2,6,4,"Avery",1,1,0,2,2,2,"Riley",0,0,1,1,1,1,"Circles_fact_h",5
"159","H","S047","F",8,2,3,"Megan",4,6,5,"Avery",1,1,1,2,2,2,"Riley",1,1,1,2,2,2,"Circles_fact_h",4
"160","E","S048","M",9,7,14,"Megan",3,6,5,"Avery",1,1,1,2,2,1,"Riley",1,0,1,1,1,1,"Circles_fact_h",5
"161","F","S049","M",7,3,9,"Megan",1,6,2,"Avery",0,1,0,1,2,2,"Riley",1,0,1,2,1,1,"Circles_fact_h",4
"162","G","S050","M",7,1,5,"Megan",1,6,3,"Avery",1,1,1,1,1,2,"Riley",1,1,1,1,1,2,"Circles_fact_h",3
"163","H","S051","F",9,2,5,"Megan",3,4,5,"Avery",1,0,1,1,2,1,"Riley",0,1,0,1,1,1,"Circles_fact_h",4
"164","E","S052","M",9,6,13,"Megan",5,6,4,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,1,1,"Circles_fact_h",6
"165","F","S053","M",7,5,12,"Megan",1,6,4,"Avery",1,0,1,1,2,2,"Riley",0,1,0,2,2,1,"Circles_fact_h",4
"166","G","S054","M",8,5,22,"Megan",5,6,2,"Avery",1,1,1,2,2,2,"Riley",0,0,0,2,2,2,"Circles_fact_h",1
"167","H","S055","M",6,3,15,"Megan",1,2,3,"Avery",1,1,1,1,1,1,"Riley",0,1,1,2,2,2,"Circles_fact_h",6
"168","E","S056","M",6,2,13,"Megan",1,6,3,"Avery",0,1,0,1,1,1,"Riley",0,0,1,1,1,1,"Circles_fact_h",6
"169","F","S057","M",9,3,2,"Megan",1,6,4,"Avery",1,0,1,2,2,1,"Riley",0,1,0,2,2,1,"Circles_fact_h",3
"170","G","S058","F",7,6,1,"Megan",5,6,3,"Avery",0,0,1,2,1,2,"Riley",0,0,1,1,1,2,"Circles_fact_h",5
"171","H","S059","M",6,10,16,"Megan",4,6,3,"Avery",1,1,1,1,2,2,"Riley",0,0,0,1,1,1,"Circles_fact_h",6
"172","A","S001","F",8,0,14,"Megan",3,6,4,"Orin",1,1,0,2,1,2,"Cameron",0,1,0,2,2,1,"Circles_fact_s",6
"173","B","S002","F",8,4,22,"Megan",2,6,4,"Orin",1,1,0,2,1,1,"Cameron",1,1,0,2,1,1,"Circles_fact_s",5
"174","A","S003","M",7,7,28,"Megan",3,6,4,"Orin",1,1,0,1,2,1,"Cameron",1,0,1,2,1,2,"Circles_fact_s",5
"175","B","S004","M",6,10,23,"Megan",1,6,3,"Orin",1,1,1,1,2,1,"Cameron",1,1,1,2,2,2,"Circles_fact_s",6
"176","A","S005","F",9,10,17,"Megan",1,6,5,"Orin",1,1,0,1,2,2,"Cameron",1,1,0,1,2,2,"Circles_fact_s",5
"177","B","S006","F",7,11,25,"Megan",1,6,5,"Orin",1,0,0,1,2,2,"Cameron",0,0,0,1,2,1,"Circles_fact_s",5
