"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","character_emotion","Circles_fact_s","Circles_emo_s","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Circles_fact_h","Circles_emo_h","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","answer","Strangers"
"96","E","S040","M",6,7,28,"Megan","Avery",4,4,1,1,1,1,2,2,"Riley",4,3,0,0,1,1,2,2,"Mom_and_Child",1
"97","F","S041","F",8,3,30,"Megan","Avery",3,1,1,0,1,1,2,1,"Riley",2,2,0,0,1,2,2,1,"Mom_and_Child",2
"98","G","S042","F",9,6,22,"Megan","Avery",5,4,1,1,1,2,2,1,"Riley",5,4,1,1,1,2,2,1,"Mom_and_Child",2
"99","E","S044","F",9,9,18,"Megan","Avery",5,4,1,1,1,2,2,2,"Riley",4,4,1,1,1,2,2,2,"Mom_and_Child",3
"100","F","S045","F",7,7,27,"Megan","Avery",2,4,0,0,0,1,2,1,"Riley",3,3,0,0,1,1,2,2,"Mom_and_Child",2
"101","G","S046","F",8,2,8,"Megan","Avery",4,3,1,1,0,2,2,2,"Riley",5,4,0,0,1,1,1,1,"Mom_and_Child",2
"102","H","S047","F",8,2,3,"Megan","Avery",4,3,1,1,1,2,2,2,"Riley",4,3,1,1,1,2,2,2,"Mom_and_Child",4
"103","E","S048","M",9,7,14,"Megan","Avery",5,4,1,1,1,2,2,1,"Riley",5,5,1,0,1,1,1,1,"Mom_and_Child",3
"104","F","S049","M",7,3,9,"Megan","Avery",6,6,0,1,0,1,2,2,"Riley",4,4,1,0,1,2,1,1,"Mom_and_Child",1
"105","G","S050","M",7,1,5,"Megan","Avery",3,4,1,1,1,1,1,2,"Riley",3,3,1,1,1,1,1,2,"Mom_and_Child",1
"106","H","S051","F",9,2,5,"Megan","Avery",5,4,1,0,1,1,2,1,"Riley",4,5,0,1,0,1,1,1,"Mom_and_Child",3
"107","E","S052","M",9,6,13,"Megan","Avery",6,5,1,1,1,2,2,1,"Riley",6,5,1,1,1,2,1,1,"Mom_and_Child",5
"108","F","S053","M",7,5,12,"Megan","Avery",5,5,1,0,1,1,2,2,"Riley",4,6,0,1,0,2,2,1,"Mom_and_Child",1
"109","G","S054","M",8,5,22,"Megan","Avery",5,3,1,1,1,2,2,2,"Riley",1,2,0,0,0,2,2,2,"Mom_and_Child",5
"110","H","S055","M",6,3,15,"Megan","Avery",3,2,1,1,1,1,1,1,"Riley",6,5,0,1,1,2,2,2,"Mom_and_Child",1
"111","E","S056","M",6,2,13,"Megan","Avery",5,6,0,1,0,1,1,1,"Riley",6,6,0,0,1,1,1,1,"Mom_and_Child",1
"112","F","S057","M",9,3,2,"Megan","Avery",4,3,1,0,1,2,2,1,"Riley",3,4,0,1,0,2,2,1,"Mom_and_Child",1
"113","G","S058","F",7,6,1,"Megan","Avery",5,5,0,0,1,2,1,2,"Riley",5,5,0,0,1,1,1,2,"Mom_and_Child",5
"114","H","S059","M",6,10,16,"Megan","Avery",6,6,1,1,1,1,2,2,"Riley",6,6,0,0,0,1,1,1,"Mom_and_Child",4
