ID,population,age,sex,relationship,emotion,chose_emotion
S066,child,8.968721461187213,F,bestfriend,happy,0
S066,child,8.968721461187213,F,bestfriend,sad,0
S066,child,8.968721461187213,F,friend,happy,0
S066,child,8.968721461187213,F,friend,sad,0
S067,child,7.519178082191781,F,bestfriend,happy,0
S067,child,7.519178082191781,F,bestfriend,sad,1
S067,child,7.519178082191781,F,friend,happy,1
S067,child,7.519178082191781,F,friend,sad,1
S068,child,6.263698630136986,F,bestfriend,happy,0
S068,child,6.263698630136986,F,bestfriend,sad,0
S068,child,6.263698630136986,F,friend,happy,0
S068,child,6.263698630136986,F,friend,sad,1
S069,child,6.291095890410959,NB,bestfriend,happy,0
S069,child,6.291095890410959,NB,bestfriend,sad,1
S069,child,6.291095890410959,NB,friend,happy,0
S069,child,6.291095890410959,NB,friend,sad,1
S070,child,9.099771689497718,F,bestfriend,happy,1
S070,child,9.099771689497718,F,bestfriend,sad,0
S070,child,9.099771689497718,F,friend,happy,0
S070,child,9.099771689497718,F,friend,sad,0
S071,child,8.274657534246575,M,bestfriend,happy,0
S071,child,8.274657534246575,M,bestfriend,sad,1
S071,child,8.274657534246575,M,friend,happy,0
S071,child,8.274657534246575,M,friend,sad,0
S072,child,6.207762557077626,M,bestfriend,happy,1
S072,child,6.207762557077626,M,bestfriend,sad,0
S072,child,6.207762557077626,M,friend,happy,0
S072,child,6.207762557077626,M,friend,sad,1
S073,child,6.597031963470319,M,bestfriend,happy,1
S073,child,6.597031963470319,M,bestfriend,sad,0
S073,child,6.597031963470319,M,friend,happy,0
S073,child,6.597031963470319,M,friend,sad,1
S074,child,8.460502283105022,M,bestfriend,happy,1
S074,child,8.460502283105022,M,bestfriend,sad,1
S074,child,8.460502283105022,M,friend,happy,1
S074,child,8.460502283105022,M,friend,sad,0
S075,child,7.893607305936073,F,bestfriend,happy,1
S075,child,7.893607305936073,F,bestfriend,sad,1
S075,child,7.893607305936073,F,friend,happy,1
S075,child,7.893607305936073,F,friend,sad,0
S076,child,8.32123287671233,F,bestfriend,happy,1
S076,child,8.32123287671233,F,bestfriend,sad,1
S076,child,8.32123287671233,F,friend,happy,0
S076,child,8.32123287671233,F,friend,sad,0
S077,child,9.516438356164384,F,bestfriend,happy,0
S077,child,9.516438356164384,F,bestfriend,sad,1
S077,child,9.516438356164384,F,friend,happy,0
S077,child,9.516438356164384,F,friend,sad,0
S078,child,6.107990867579908,M,bestfriend,happy,0
S078,child,6.107990867579908,M,bestfriend,sad,1
S078,child,6.107990867579908,M,friend,happy,0
S078,child,6.107990867579908,M,friend,sad,1
S079,child,6.25,F,bestfriend,happy,1
S079,child,6.25,F,bestfriend,sad,1
S079,child,6.25,F,friend,happy,1
S079,child,6.25,F,friend,sad,1
S080,child,7.419406392694064,M,bestfriend,happy,0
S080,child,7.419406392694064,M,bestfriend,sad,0
S080,child,7.419406392694064,M,friend,happy,0
S080,child,7.419406392694064,M,friend,sad,1
S081,child,7.573972602739726,M,bestfriend,happy,0
S081,child,7.573972602739726,M,bestfriend,sad,0
S081,child,7.573972602739726,M,friend,happy,0
S081,child,7.573972602739726,M,friend,sad,0
S082,child,8.027397260273972,M,bestfriend,happy,1
S082,child,8.027397260273972,M,bestfriend,sad,1
S082,child,8.027397260273972,M,friend,happy,0
S082,child,8.027397260273972,M,friend,sad,1
S083,child,6.33607305936073,F,bestfriend,happy,1
S083,child,6.33607305936073,F,bestfriend,sad,1
S083,child,6.33607305936073,F,friend,happy,1
S083,child,6.33607305936073,F,friend,sad,1
S084,child,6.763698630136986,M,bestfriend,happy,1
S084,child,6.763698630136986,M,bestfriend,sad,1
S084,child,6.763698630136986,M,friend,happy,1
S084,child,6.763698630136986,M,friend,sad,1
S085,child,9.508219178082191,F,bestfriend,happy,1
S085,child,9.508219178082191,F,bestfriend,sad,1
S085,child,9.508219178082191,F,friend,happy,1
S085,child,9.508219178082191,F,friend,sad,0
S086,child,8.344292237442923,M,bestfriend,happy,1
S086,child,8.344292237442923,M,bestfriend,sad,1
S086,child,8.344292237442923,M,friend,happy,0
